,datetime,core_temp,bark_temp
4337,2021-02-03,301.46,302.26
4336,2021-02-03,301.46,302.26
4335,2021-02-03,301.44,302.2
4334,2021-02-03,301.41999999999996,302.21999999999997
4333,2021-02-03,301.4,302.2
4332,2021-02-03,301.4,302.2
4331,2021-02-03,301.4,302.2
4330,2021-02-03,301.4,302.2
4329,2021-02-03,301.4,302.2
4328,2021-02-03,301.35999999999996,302.17999999999995
4327,2021-02-03,301.34,302.17999999999995
4326,2021-02-03,301.34,302.17999999999995
4325,2021-02-03,301.34,302.17999999999995
4324,2021-02-03,301.32,302.15999999999997
4323,2021-02-03,301.32,302.14
4322,2021-02-03,301.29999999999995,302.14
4321,2021-02-03,301.27,302.14
4320,2021-02-03,301.27,302.17999999999995
4319,2021-02-03,301.25,302.12
4318,2021-02-03,301.22999999999996,302.12
4317,2021-02-03,301.21,302.09999999999997
4316,2021-02-03,301.21,302.08
4315,2021-02-03,301.21,302.08
4314,2021-02-03,301.21,302.08
4313,2021-02-03,301.15,302.08
4312,2021-02-03,301.15,302.06
4311,2021-02-03,301.15,302.03999999999996
4310,2021-02-03,301.15,302.08
4309,2021-02-03,301.13,302.06
4308,2021-02-03,301.09,302.06
4307,2021-02-03,301.09,302.06
4306,2021-02-03,301.09,302.03999999999996
4305,2021-02-03,301.09,301.98999999999995
